0 1 {'weight': 6}
0 2 {'weight': 5}
0 3 {'weight': 4}
0 4 {'weight': 4}
0 5 {'weight': 2}
0 6 {'weight': 3}
0 7 {'weight': 3}
0 8 {'weight': 6}
0 9 {'weight': 4}
1 0 {'weight': 6}
1 2 {'weight': 11}
1 3 {'weight': 7}
1 4 {'weight': 5}
1 5 {'weight': 2}
1 6 {'weight': 3}
1 7 {'weight': 4}
1 8 {'weight': 5}
1 9 {'weight': 3}
2 0 {'weight': 5}
2 1 {'weight': 11}
2 3 {'weight': 3}
2 4 {'weight': 7}
2 5 {'weight': 6}
2 6 {'weight': 2}
2 7 {'weight': 3}
2 8 {'weight': 2}
2 9 {'weight': 5}
3 0 {'weight': 4}
3 1 {'weight': 7}
3 2 {'weight': 3}
3 4 {'weight': 5}
3 5 {'weight': 3}
3 6 {'weight': 5}
3 7 {'weight': 5}
3 8 {'weight': 6}
3 9 {'weight': 2}
4 0 {'weight': 4}
4 1 {'weight': 5}
4 2 {'weight': 7}
4 3 {'weight': 5}
4 5 {'weight': 8}
4 6 {'weight': 2}
4 7 {'weight': 3}
4 8 {'weight': 4}
4 9 {'weight': 5}
5 0 {'weight': 2}
5 1 {'weight': 2}
5 2 {'weight': 6}
5 3 {'weight': 3}
5 4 {'weight': 8}
5 6 {'weight': 3}
5 7 {'weight': 2}
5 8 {'weight': 3}
5 9 {'weight': 6}
6 0 {'weight': 3}
6 1 {'weight': 3}
6 2 {'weight': 2}
6 3 {'weight': 5}
6 4 {'weight': 2}
6 5 {'weight': 3}
6 7 {'weight': 3}
6 8 {'weight': 5}
6 9 {'weight': 10}
7 0 {'weight': 3}
7 1 {'weight': 4}
7 2 {'weight': 3}
7 3 {'weight': 5}
7 4 {'weight': 3}
7 5 {'weight': 2}
7 6 {'weight': 3}
7 8 {'weight': 9}
7 9 {'weight': 3}
8 0 {'weight': 6}
8 1 {'weight': 5}
8 2 {'weight': 2}
8 3 {'weight': 6}
8 4 {'weight': 4}
8 5 {'weight': 3}
8 6 {'weight': 5}
8 7 {'weight': 9}
8 9 {'weight': 8}
9 0 {'weight': 4}
9 1 {'weight': 3}
9 2 {'weight': 5}
9 3 {'weight': 2}
9 4 {'weight': 5}
9 5 {'weight': 6}
9 6 {'weight': 10}
9 7 {'weight': 3}
9 8 {'weight': 8}
